iter	Passed	Remaining
0	139	139435
1	140	70055
2	140	46855
3	141	35285
4	142	28336
5	143	23696
6	143	20373
7	144	17896
8	145	15968
9	145	14441
10	146	13183
11	147	12141
12	148	11245
13	148	10476
14	149	9811
15	150	9230
16	150	8713
17	151	8253
18	151	7841
19	152	7472
20	153	7140
21	153	6838
22	154	6563
23	155	6310
24	155	6079
25	156	5864
26	157	5664
27	157	5478
28	158	5306
29	159	5146
30	159	4995
31	160	4853
32	161	4721
33	161	4598
34	162	4482
35	163	4370
36	163	4266
37	164	4168
38	165	4073
39	165	3983
40	166	3897
41	167	3816
42	168	3739
43	168	3664
44	169	3593
45	169	3524
46	170	3458
47	171	3395
48	171	3337
49	172	3286
50	173	3235
51	174	3181
52	175	3135
53	176	3089
54	177	3044
55	178	3000
56	178	2955
57	179	2910
58	179	2869
59	180	2828
60	181	2789
61	181	2751
62	182	2713
63	183	2679
64	183	2643
65	184	2609
66	184	2576
67	185	2541
68	186	2511
69	187	2496
70	188	2471
71	189	2443
72	190	2416
73	191	2393
74	191	2367
75	192	2341
76	193	2324
77	194	2304
78	195	2279
79	196	2254
80	196	2231
81	197	2207
82	197	2184
83	198	2162
84	198	2138
85	199	2117
86	199	2094
87	200	2074
88	200	2053
89	201	2034
90	201	2015
91	202	1996
92	202	1978
93	203	1960
94	203	1942
95	204	1925
96	205	1908
97	205	1892
98	206	1881
99	207	1870
100	208	1855
101	208	1838
102	209	1823
103	209	1808
104	210	1794
105	211	1780
106	211	1766
107	212	1752
108	212	1739
109	213	1726
110	213	1713
111	214	1701
112	215	1689
113	215	1677
114	216	1665
115	216	1652
116	217	1640
117	217	1628
118	218	1616
119	218	1605
120	219	1593
121	220	1583
122	220	1571
123	221	1561
124	221	1553
125	222	1546
126	223	1538
127	224	1526
128	224	1517
129	225	1507
130	225	1498
131	226	1489
132	226	1479
133	227	1470
134	228	1461
135	228	1452
136	229	1443
137	229	1434
138	230	1425
139	230	1416
140	231	1408
141	231	1400
142	232	1392
143	232	1384
144	233	1376
145	233	1368
146	234	1360
147	235	1353
148	235	1345
149	236	1339
150	237	1336
151	238	1332
152	239	1325
153	240	1318
154	240	1311
155	241	1304
156	241	1297
157	242	1290
158	242	1283
159	243	1276
160	243	1270
161	244	1263
162	244	1257
163	245	1251
164	246	1245
165	246	1239
166	247	1233
167	247	1227
168	248	1221
169	248	1215
170	249	1209
171	249	1203
172	250	1196
173	250	1190
174	251	1187
175	253	1187
176	254	1182
177	254	1176
178	255	1171
179	255	1165
180	256	1159
181	256	1153
182	257	1148
183	257	1143
184	258	1138
185	258	1133
186	259	1128
187	259	1122
188	260	1117
189	261	1112
190	261	1108
191	262	1103
192	262	1098
193	263	1093
194	263	1088
195	264	1084
196	264	1079
197	265	1074
198	265	1070
199	266	1067
200	268	1065
201	268	1062
202	269	1058
203	270	1054
204	270	1050
205	271	1046
206	272	1042
207	272	1038
208	273	1035
209	274	1031
210	274	1027
211	275	1024
212	276	1020
213	277	1017
214	278	1015
215	278	1012
216	279	1008
217	280	1006
218	281	1002
219	282	1001
220	283	1000
221	284	996
222	285	993
223	285	990
224	286	986
225	287	983
226	287	980
227	288	976
228	289	973
229	289	969
230	290	966
231	290	963
232	291	959
233	292	956
234	292	953
235	293	950
236	294	946
237	294	943
238	295	940
239	295	936
240	296	933
241	297	932
242	298	930
243	299	928
244	300	925
245	300	922
246	301	919
247	302	915
248	302	912
249	303	909
250	303	906
251	304	903
252	305	901
253	306	899
254	307	897
255	308	895
256	308	892
257	309	889
258	309	886
259	310	883
260	310	880
261	311	876
262	313	877
263	313	874
264	314	872
265	315	870
266	316	868
267	316	864
268	317	861
269	317	858
270	318	855
271	318	852
272	318	849
273	319	846
274	319	843
275	320	840
276	321	838
277	321	835
278	322	832
279	322	829
280	322	826
281	323	823
282	323	820
283	324	817
284	324	814
285	325	811
286	325	809
287	326	806
288	327	805
289	328	803
290	328	801
291	329	798
292	329	796
293	330	794
294	331	791
295	331	789
296	332	786
297	332	783
298	333	781
299	333	778
300	334	776
301	334	773
302	335	771
303	336	769
304	336	767
305	337	765
306	337	762
307	338	760
308	339	758
309	339	755
310	340	753
311	340	750
312	340	748
313	341	746
314	343	746
315	344	745
316	345	745
317	346	743
318	347	741
319	348	740
320	348	737
321	349	736
322	350	733
323	350	731
324	351	729
325	351	727
326	352	725
327	352	722
328	353	720
329	353	718
330	354	716
331	355	714
332	355	712
333	356	710
334	357	710
335	359	710
336	361	710
337	362	710
338	363	708
339	364	706
340	364	704
341	365	703
342	366	701
343	366	699
344	367	697
345	367	695
346	368	693
347	369	692
348	373	696
349	376	699
350	377	697
351	378	696
352	378	694
353	379	692
354	379	690
355	380	688
356	381	686
357	381	684
358	382	682
359	382	680
360	383	678
361	383	676
362	384	674
363	384	672
364	386	672
365	387	671
366	389	671
367	390	670
368	391	669
369	391	667
370	392	665
371	393	663
372	393	661
373	394	659
374	394	657
375	395	656
376	395	654
377	396	652
378	396	650
379	397	648
380	397	646
381	398	644
382	399	643
383	401	643
384	402	642
385	403	641
386	404	641
387	405	639
388	406	637
389	406	636
390	407	634
391	408	632
392	408	631
393	409	629
394	409	627
395	410	625
396	410	624
397	411	622
398	412	620
399	412	618
400	413	617
401	413	615
402	415	615
403	416	614
404	417	613
405	418	611
406	419	610
407	419	609
408	420	607
409	420	605
410	421	603
411	421	602
412	422	600
413	423	598
414	423	597
415	424	595
416	424	593
417	425	592
418	425	590
419	426	588
420	426	587
421	427	585
422	428	583
423	429	583
424	431	583
425	432	582
426	432	580
427	433	579
428	434	578
429	435	576
430	435	575
431	436	573
432	436	571
433	437	570
434	437	568
435	438	566
436	438	565
437	439	563
438	439	562
439	440	560
440	440	558
441	441	557
442	442	555
443	442	554
444	443	552
445	444	552
446	445	551
447	446	550
448	448	550
449	449	548
450	449	547
451	450	546
452	451	544
453	451	543
454	452	541
455	453	540
456	453	539
457	454	537
458	454	536
459	455	534
460	456	533
461	456	531
462	457	530
463	457	528
464	458	527
465	459	526
466	460	526
467	461	524
468	462	523
469	462	521
470	463	520
471	463	519
472	464	517
473	465	516
474	465	514
475	466	513
476	466	511
477	467	510
478	467	508
479	468	507
480	468	505
481	469	504
482	469	502
483	469	501
484	470	499
485	470	498
486	471	496
487	471	494
488	472	493
489	472	491
490	473	490
491	473	489
492	474	488
493	475	486
494	475	485
495	476	484
496	477	482
497	477	481
498	478	480
499	478	478
500	479	477
501	479	475
502	480	474
503	480	472
504	481	471
505	481	470
506	481	468
507	482	467
508	482	465
509	483	464
510	483	463
511	484	461
512	484	460
513	485	458
514	485	457
515	486	456
516	486	454
517	487	453
518	487	451
519	488	450
520	488	449
521	489	447
522	489	446
523	490	445
524	490	443
525	490	442
526	491	441
527	491	439
528	492	438
529	492	437
530	493	435
531	493	434
532	494	433
533	494	431
534	495	430
535	495	429
536	496	427
537	496	426
538	497	425
539	497	424
540	498	422
541	498	421
542	499	420
543	499	418
544	500	417
545	500	416
546	501	415
547	501	413
548	502	412
549	502	411
550	502	409
551	503	408
552	503	407
553	504	406
554	504	404
555	505	403
556	505	402
557	506	400
558	506	399
559	507	398
560	507	397
561	507	395
562	508	394
563	508	393
564	509	392
565	509	390
566	510	389
567	510	388
568	511	387
569	511	385
570	512	384
571	512	383
572	512	382
573	513	381
574	513	379
575	514	378
576	514	377
577	515	376
578	515	374
579	516	373
580	516	372
581	517	371
582	517	370
583	517	368
584	518	367
585	518	366
586	519	365
587	519	364
588	520	363
589	521	362
590	521	360
591	522	359
592	522	358
593	523	357
594	523	356
595	524	355
596	524	354
597	525	353
598	525	352
599	526	350
600	526	349
601	527	348
602	528	347
603	528	346
604	529	345
605	529	344
606	530	343
607	530	342
608	531	341
609	531	340
610	532	338
611	532	337
612	533	336
613	534	335
614	534	334
615	535	333
616	535	332
617	536	331
618	536	330
619	537	329
620	537	328
621	538	327
622	538	326
623	539	325
624	540	324
625	540	323
626	541	321
627	541	320
628	542	319
629	542	318
630	543	317
631	543	316
632	544	315
633	545	314
634	545	313
635	546	312
636	546	311
637	547	310
638	547	309
639	548	308
640	549	307
641	549	306
642	550	305
643	550	304
644	551	303
645	551	302
646	552	301
647	552	300
648	553	299
649	553	298
650	554	297
651	554	296
652	555	294
653	555	293
654	555	292
655	556	291
656	556	290
657	557	289
658	557	288
659	558	287
660	558	286
661	559	285
662	559	284
663	560	283
664	560	282
665	561	281
666	561	280
667	562	279
668	562	278
669	563	277
670	564	276
671	564	275
672	565	274
673	565	273
674	566	272
675	566	271
676	567	270
677	567	269
678	568	268
679	568	267
680	569	266
681	569	265
682	569	264
683	570	263
684	570	262
685	571	261
686	571	260
687	572	259
688	572	258
689	573	257
690	573	256
691	574	255
692	574	254
693	574	253
694	575	252
695	575	251
696	576	250
697	576	249
698	577	248
699	577	247
700	578	246
701	578	245
702	579	244
703	579	243
704	580	242
705	580	241
706	580	240
707	581	239
708	581	238
709	582	237
710	582	236
711	583	235
712	583	234
713	584	233
714	584	232
715	584	232
716	585	231
717	585	230
718	586	229
719	586	228
720	587	227
721	587	226
722	588	225
723	588	224
724	589	223
725	589	222
726	590	221
727	590	220
728	591	219
729	591	218
730	592	217
731	592	216
732	592	215
733	593	215
734	593	214
735	594	213
736	594	212
737	595	211
738	595	210
739	596	209
740	596	208
741	597	207
742	597	206
743	597	205
744	598	204
745	598	203
746	599	203
747	599	202
748	600	201
749	600	200
750	601	199
751	601	198
752	602	197
753	602	196
754	603	195
755	603	194
756	603	193
757	604	192
758	604	192
759	605	191
760	605	190
761	606	189
762	606	188
763	607	187
764	607	186
765	608	185
766	608	184
767	608	183
768	609	183
769	609	182
770	610	181
771	611	180
772	611	179
773	612	178
774	612	177
775	613	177
776	613	176
777	614	175
778	614	174
779	615	173
780	615	172
781	616	171
782	617	170
783	617	170
784	618	169
785	618	168
786	619	167
787	619	166
788	620	165
789	620	165
790	621	164
791	621	163
792	622	162
793	623	161
794	623	160
795	624	159
796	624	159
797	625	158
798	625	157
799	626	156
800	627	155
801	627	154
802	628	154
803	628	153
804	629	152
805	629	151
806	630	150
807	630	149
808	631	149
809	631	148
810	632	147
811	633	146
812	633	145
813	634	144
814	634	144
815	635	143
816	635	142
817	636	141
818	636	140
819	637	139
820	637	139
821	638	138
822	638	137
823	639	136
824	639	135
825	639	134
826	640	133
827	640	133
828	641	132
829	641	131
830	642	130
831	642	129
832	643	128
833	643	128
834	644	127
835	644	126
836	645	125
837	645	124
838	645	123
839	646	123
840	646	122
841	647	121
842	647	120
843	648	119
844	648	119
845	649	118
846	649	117
847	650	116
848	650	115
849	651	114
850	651	114
851	652	113
852	652	112
853	652	111
854	653	110
855	653	109
856	654	109
857	654	108
858	655	107
859	655	106
860	656	105
861	656	105
862	657	104
863	657	103
864	658	102
865	658	101
866	659	101
867	659	100
868	659	99
869	660	98
870	661	97
871	661	97
872	662	96
873	663	95
874	663	94
875	664	94
876	666	93
877	667	92
878	668	92
879	669	91
880	670	90
881	671	89
882	672	89
883	674	88
884	675	87
885	676	87
886	677	86
887	678	85
888	679	84
889	679	84
890	680	83
891	681	82
892	681	81
893	682	80
894	683	80
895	683	79
896	684	78
897	685	77
898	685	77
899	686	76
900	687	75
901	688	74
902	688	73
903	689	73
904	691	72
905	692	71
906	693	71
907	694	70
908	695	69
909	696	68
910	697	68
911	698	67
912	699	66
913	700	65
914	701	65
915	702	64
916	703	63
917	704	62
918	706	62
919	707	61
920	708	60
921	709	60
922	710	59
923	710	58
924	712	57
925	712	56
926	713	56
927	714	55
928	716	54
929	716	53
930	717	53
931	718	52
932	719	51
933	720	50
934	720	50
935	721	49
936	722	48
937	723	47
938	723	47
939	724	46
940	725	45
941	725	44
942	726	43
943	727	43
944	727	42
945	728	41
946	729	40
947	729	40
948	731	39
949	732	38
950	733	37
951	734	37
952	735	36
953	736	35
954	737	34
955	737	33
956	738	33
957	739	32
958	740	31
959	740	30
960	741	30
961	742	29
962	743	28
963	744	27
964	745	27
965	746	26
966	746	25
967	747	24
968	748	23
969	749	23
970	750	22
971	750	21
972	751	20
973	752	20
974	752	19
975	753	18
976	754	17
977	754	16
978	756	16
979	757	15
980	759	14
981	765	14
982	766	13
983	768	12
984	769	11
985	770	10
986	772	10
987	774	9
988	774	8
989	776	7
990	777	7
991	778	6
992	779	5
993	780	4
994	781	3
995	782	3
996	783	2
997	784	1
998	785	0
999	786	0
